stringID type x y demand readytime duedate servicetime rechargingrate 
D0 d 21.14 26.43 0.00 0.00 507.45 0.00 0.00
S0 f 21.14 26.43 0.00 0.00 507.45 0.00 0.07
S1 f 38.59 27.49 0.00 0.00 507.45 0.00 0.07
S2 f 47.57 29.07 0.00 0.00 507.45 0.00 0.07
S3 f 29.07 41.76 0.00 0.00 507.45 0.00 0.07
S4 f 36.47 47.04 0.00 0.00 507.45 0.00 0.07
S5 f 16.91 42.29 0.00 0.00 507.45 0.00 0.07
S6 f 20.62 50.74 0.00 0.00 507.45 0.00 0.07
S7 f 12.16 42.29 0.00 0.00 507.45 0.00 0.07
S8 f 2.11 43.87 0.00 0.00 507.45 0.00 0.07
S9 f 9.51 30.66 0.00 0.00 507.45 0.00 0.07
S10 f 0.53 29.60 0.00 0.00 507.45 0.00 0.07
S11 f 6.87 16.39 0.00 0.00 507.45 0.00 0.07
S12 f -2.64 20.09 0.00 0.00 507.45 0.00 0.07
S13 f 13.74 19.56 0.00 0.00 507.45 0.00 0.07
S14 f 14.80 6.87 0.00 0.00 507.45 0.00 0.07
S15 f 20.62 16.39 0.00 0.00 507.45 0.00 0.07
S16 f 25.37 5.81 0.00 0.00 507.45 0.00 0.07
S17 f 31.19 8.99 0.00 0.00 507.45 0.00 0.07
S18 f 38.59 12.16 0.00 0.00 507.45 0.00 0.07
S19 f 39.12 16.91 0.00 0.00 507.45 0.00 0.07
S20 f 47.57 23.26 0.00 0.00 507.45 0.00 0.07
C1 c 13.21 44.93 20.00 158.57 222.01 5.29 0.00
C2 c 11.63 39.64 30.00 33.30 96.74 5.29 0.00
C3 c 11.63 44.93 10.00 178.66 242.10 5.29 0.00
C4 c 10.57 42.29 40.00 376.35 439.79 5.29 0.00
C5 c 10.57 44.93 20.00 417.05 480.49 5.29 0.00
C6 c 9.51 39.64 20.00 136.37 199.81 5.29 0.00
C7 c 7.93 39.64 20.00 68.18 131.62 5.29 0.00
C8 c 7.93 42.29 10.00 232.57 296.02 5.29 0.00
C9 c 5.29 18.50 20.00 345.69 409.13 5.29 0.00
C10 c 5.29 21.14 30.00 214.60 278.04 5.29 0.00
C11 c 4.23 21.14 40.00 211.96 275.40 5.29 0.00
C12 c 4.23 23.79 20.00 421.28 484.72 5.29 0.00
C13 c 2.64 18.50 10.00 20.61 84.05 5.29 0.00
C14 c 2.64 23.79 10.00 104.66 168.10 5.29 0.00
C15 c 1.06 21.14 20.00 395.38 458.82 5.29 0.00
C16 c 0.00 21.14 20.00 95.14 158.58 5.29 0.00
C17 c 0.00 23.79 20.00 93.03 156.47 5.29 0.00
C18 c 23.26 2.64 20.00 414.41 477.85 5.29 0.00
C19 c 22.20 5.29 40.00 21.67 85.11 5.29 0.00
C20 c 22.20 7.93 10.00 109.94 173.38 5.29 0.00
C21 c 21.14 2.64 10.00 275.92 339.36 5.29 0.00
C22 c 21.14 7.93 40.00 328.25 391.69 5.29 0.00
C23 c 20.09 2.64 30.00 142.19 205.63 5.29 0.00
C24 c 20.09 7.93 10.00 85.10 148.54 5.29 0.00
C25 c 18.50 2.64 20.00 24.31 87.75 5.29 0.00
C26 c 50.22 15.86 30.00 407.54 470.98 5.29 0.00
C27 c 50.22 18.50 20.00 356.79 420.23 5.29 0.00
C28 c 48.63 15.86 10.00 80.87 144.31 5.29 0.00
C29 c 47.57 18.50 10.00 264.82 328.26 5.29 0.00
C30 c 46.52 15.86 10.00 219.89 283.33 5.29 0.00
C31 c 46.52 18.50 20.00 411.77 475.21 5.29 0.00
C32 c 45.99 15.86 10.00 68.18 131.62 5.29 0.00
C33 c 44.93 13.21 10.00 404.90 468.34 5.29 0.00
C34 c 44.93 18.50 30.00 61.31 124.75 5.29 0.00
C35 c 35.42 44.93 20.00 341.99 405.43 5.29 0.00
C36 c 34.36 44.93 40.00 273.28 336.72 5.29 0.00
C37 c 34.36 43.34 10.00 133.20 196.64 5.29 0.00
C38 c 32.77 42.29 30.00 55.50 118.94 5.29 0.00
C39 c 31.72 42.29 10.00 396.97 460.41 5.29 0.00
C40 c 31.72 44.93 30.00 270.63 334.07 5.29 0.00
C41 c 30.66 39.64 20.00 135.84 199.28 5.29 0.00
C42 c 29.07 42.29 10.00 274.86 338.30 5.29 0.00
C43 c 29.07 44.93 20.00 53.91 117.35 5.29 0.00
C44 c 29.07 43.34 10.00 237.86 301.30 5.29 0.00
C45 c 10.57 43.34 10.00 341.46 404.91 5.29 0.00
C46 c 9.51 42.29 10.00 418.64 482.08 5.29 0.00
C47 c 1.06 23.79 10.00 136.90 200.34 5.29 0.00
C48 c 22.20 2.64 10.00 37.00 100.44 5.29 0.00
C49 c 22.20 6.34 10.00 109.94 173.38 5.29 0.00
C50 c 38.06 18.50 30.00 389.04 452.48 5.29 0.00
C51 c 29.07 10.57 19.00 254.78 318.22 5.29 0.00
C52 c 13.21 15.86 3.00 292.31 355.75 5.29 0.00
C53 c 10.57 26.43 5.00 141.13 204.57 5.29 0.00
C54 c 29.07 31.72 16.00 294.42 357.86 5.29 0.00
C55 c 15.86 31.72 16.00 349.39 412.83 5.29 0.00
C56 c 26.43 18.50 19.00 97.26 160.70 5.29 0.00
C57 c 15.86 13.21 23.00 119.46 182.90 5.29 0.00
C58 c 7.93 5.29 20.00 234.16 297.60 5.29 0.00
C59 c 5.29 10.57 19.00 346.22 409.66 5.29 0.00
C60 c 7.93 31.72 17.00 22.72 86.17 5.29 0.00
C61 c 23.79 34.36 9.00 326.66 390.10 5.29 0.00
C62 c 34.36 18.50 3.00 72.94 136.38 5.29 0.00
C63 c 34.36 10.57 6.00 167.03 230.47 5.29 0.00
C64 c 23.79 15.86 17.00 331.95 395.39 5.29 0.00
C65 c 18.50 21.14 16.00 14.80 78.24 5.29 0.00
C66 c 21.67 19.56 16.00 308.69 372.13 5.29 0.00
C67 c 33.83 22.20 9.00 13.74 77.18 5.29 0.00
C68 c 21.14 31.72 21.00 393.27 456.71 5.29 0.00
C69 c 16.39 27.49 27.00 5.28 68.72 5.29 0.00
C70 c 18.50 36.47 23.00 210.37 273.81 5.29 0.00
C71 c 34.36 29.07 14.00 420.22 483.67 5.29 0.00
C72 c 33.30 34.36 8.00 174.96 238.40 5.29 0.00
C73 c 1.06 31.72 5.00 153.29 216.73 5.29 0.00
C74 c 10.57 10.57 8.00 419.17 482.61 5.29 0.00
C75 c 2.64 2.64 16.00 202.97 266.41 5.29 0.00
C76 c 31.72 6.34 31.00 24.84 88.28 5.29 0.00
C77 c 12.16 1.59 7.00 26.42 89.87 5.29 0.00
C78 c 4.23 29.60 27.00 186.06 249.50 5.29 0.00
C79 c 3.17 35.94 30.00 20.61 84.05 5.29 0.00
C80 c 24.84 24.84 13.00 184.47 247.91 5.29 0.00
C81 c 25.90 30.66 10.00 414.41 477.85 5.29 0.00
C82 c 14.27 22.73 9.00 269.05 332.49 5.29 0.00
C83 c 19.56 16.39 14.00 228.87 292.32 5.29 0.00
C84 c 30.13 15.33 18.00 423.92 487.37 5.29 0.00
C85 c 33.30 12.16 2.00 51.80 115.24 5.29 0.00
C86 c 11.10 12.69 28.00 197.16 260.60 5.29 0.00
C87 c 6.34 12.69 13.00 201.39 264.83 5.29 0.00
C88 c 12.69 30.66 19.00 296.53 359.98 5.29 0.00
C89 c 35.42 2.64 25.00 410.71 474.15 5.29 0.00
C90 c 19.56 24.84 6.00 42.28 105.72 5.29 0.00
C91 c 25.90 22.20 13.00 232.05 295.49 5.29 0.00
C92 c 28.02 22.73 14.00 367.37 430.81 5.29 0.00
C93 c 32.24 27.49 3.00 167.56 231.00 5.29 0.00
C94 c 30.13 25.37 23.00 380.05 443.49 5.29 0.00
C95 c 29.60 19.56 6.00 279.62 343.06 5.29 0.00
C96 c 29.07 28.54 26.00 146.41 209.86 5.29 0.00
C97 c 2.11 9.51 35.00 412.82 476.27 5.29 0.00
C98 c 13.74 27.49 9.00 115.23 178.67 5.29 0.00
C99 c 13.74 18.50 15.00 11.10 74.54 5.29 0.00
C100 c 16.39 35.42 3.00 247.38 310.82 5.29 0.00

id name type capacity fuel battery energy cost 
1 Small|ICEV ICEV 500.00 0.19 0.00 0.00 153.00
2 Medium|ICEV ICEV 750.00 0.24 0.00 0.00 159.00
3 Large|ICEV ICEV 1000.00 0.30 0.00 0.00 169.00
4 Small|PHEV PHEV 500.00 0.22 52.76 0.71 159.00
5 Medium|PHEV PHEV 750.00 0.28 75.37 0.88 166.00
6 Large|PHEV PHEV 1000.00 0.32 97.98 0.95 178.00
7 Small|BEV BEV 500.00 0.00 150.74 0.76 159.00
8 Medium|BEV BEV 750.00 0.00 180.89 0.93 167.00
9 Large|BEV BEV 1000.00 0.00 211.04 1.00 179.00

costOf value
fossil-fuel 2.0
electricity 0.3
