stringID type x y demand readytime duedate servicetime rechargingrate 
D0 d 20.78 20.78 0.00 0.00 593.82 0.00 0.00
S0 f 20.78 20.78 0.00 0.00 593.82 0.00 0.10
S1 f 36.22 21.97 0.00 0.00 593.82 0.00 0.10
S2 f 43.94 23.16 0.00 0.00 593.82 0.00 0.10
S3 f 27.91 33.85 0.00 0.00 593.82 0.00 0.10
S4 f 33.85 38.60 0.00 0.00 593.82 0.00 0.10
S5 f 17.22 35.03 0.00 0.00 593.82 0.00 0.10
S6 f 20.19 42.16 0.00 0.00 593.82 0.00 0.10
S7 f 13.06 34.44 0.00 0.00 593.82 0.00 0.10
S8 f 4.16 36.22 0.00 0.00 593.82 0.00 0.10
S9 f 10.69 24.35 0.00 0.00 593.82 0.00 0.10
S10 f 2.97 23.16 0.00 0.00 593.82 0.00 0.10
S11 f 8.31 11.88 0.00 0.00 593.82 0.00 0.10
S12 f 0.00 15.44 0.00 0.00 593.82 0.00 0.10
S13 f 14.25 14.85 0.00 0.00 593.82 0.00 0.10
S14 f 15.44 3.56 0.00 0.00 593.82 0.00 0.10
S15 f 20.19 11.88 0.00 0.00 593.82 0.00 0.10
S16 f 24.35 2.97 0.00 0.00 593.82 0.00 0.10
S17 f 29.69 5.34 0.00 0.00 593.82 0.00 0.10
S18 f 36.22 8.31 0.00 0.00 593.82 0.00 0.10
S19 f 36.82 12.47 0.00 0.00 593.82 0.00 0.10
S20 f 43.94 17.81 0.00 0.00 593.82 0.00 0.10
C1 c 24.35 29.10 10.00 9.50 60.57 5.94 0.00
C2 c 20.78 10.09 7.00 10.68 98.58 5.94 0.00
C3 c 32.66 26.72 13.00 437.64 561.16 5.94 0.00
C4 c 32.66 11.88 19.00 447.14 493.46 5.94 0.00
C5 c 8.91 17.81 26.00 12.47 108.08 5.94 0.00
C6 c 14.85 17.81 3.00 330.16 420.42 5.94 0.00
C7 c 11.88 29.69 5.00 19.00 65.32 5.94 0.00
C8 c 5.94 25.53 9.00 42.16 115.80 5.94 0.00
C9 c 32.66 35.63 16.00 331.34 415.67 5.94 0.00
C10 c 17.81 35.63 16.00 347.38 410.33 5.94 0.00
C11 c 11.88 38.60 12.00 416.26 487.53 5.94 0.00
C12 c 29.69 20.78 19.00 504.74 554.63 5.94 0.00
C13 c 17.81 14.85 23.00 7.12 78.98 5.94 0.00
C14 c 8.91 5.94 20.00 103.32 180.52 5.94 0.00
C15 c 17.81 2.97 8.00 511.27 569.47 5.94 0.00
C16 c 5.94 11.88 19.00 312.93 394.89 5.94 0.00
C17 c 2.97 17.81 2.00 445.36 507.12 5.94 0.00
C18 c 11.88 23.75 12.00 239.30 304.63 5.94 0.00
C19 c 8.91 35.63 17.00 138.35 215.56 5.94 0.00
C20 c 26.72 38.60 9.00 403.19 456.65 5.94 0.00
C21 c 26.72 11.88 11.00 39.78 126.49 5.94 0.00
C22 c 26.72 5.94 18.00 454.26 525.53 5.94 0.00
C23 c 32.66 2.97 29.00 55.81 162.71 5.94 0.00
C24 c 38.60 20.78 3.00 476.23 541.56 5.94 0.00
C25 c 38.60 11.88 6.00 40.97 108.67 5.94 0.00
C26 c 26.72 17.81 17.00 79.57 149.65 5.94 0.00
C27 c 20.78 23.75 16.00 177.55 283.25 5.94 0.00
C28 c 24.35 21.97 16.00 211.99 293.94 5.94 0.00
C29 c 38.00 24.94 9.00 502.95 570.07 5.94 0.00
C30 c 23.75 35.63 21.00 308.78 372.92 5.94 0.00
C31 c 18.41 30.88 27.00 350.94 480.40 5.94 0.00
C32 c 20.78 40.97 23.00 253.55 324.82 5.94 0.00
C33 c 31.47 30.88 11.00 147.85 242.87 5.94 0.00
C34 c 38.60 32.66 14.00 37.41 113.42 5.94 0.00
C35 c 37.41 38.60 8.00 431.10 530.87 5.94 0.00
C36 c 1.19 35.63 5.00 488.70 562.94 5.94 0.00
C37 c 11.88 11.88 8.00 296.90 402.61 5.94 0.00
C38 c 2.97 2.97 16.00 348.56 435.27 5.94 0.00
C39 c 35.63 7.13 31.00 168.64 261.28 5.94 0.00
C40 c 23.75 14.85 9.00 435.26 492.28 5.94 0.00
C41 c 24.94 4.16 5.00 464.36 541.56 5.94 0.00
C42 c 14.25 7.13 5.00 24.34 73.04 5.94 0.00
C43 c 13.66 1.78 7.00 226.24 331.95 5.94 0.00
C44 c 6.53 8.31 18.00 343.22 423.99 5.94 0.00
C45 c 3.56 22.56 16.00 462.58 570.07 5.94 0.00
C46 c 1.19 28.50 1.00 34.44 115.20 5.94 0.00
C47 c 4.75 33.25 27.00 367.57 453.08 5.94 0.00
C48 c 7.72 30.88 36.00 248.21 331.35 5.94 0.00
C49 c 3.56 40.38 30.00 452.48 524.94 5.94 0.00
C50 c 27.91 27.91 13.00 301.06 355.70 5.94 0.00
C51 c 29.10 34.44 10.00 460.79 538.00 5.94 0.00
C52 c 16.03 25.53 9.00 138.35 232.19 5.94 0.00
C53 c 21.97 18.41 14.00 230.39 306.41 5.94 0.00
C54 c 33.85 17.22 18.00 13.65 85.51 5.94 0.00
C55 c 37.41 13.66 2.00 249.40 350.35 5.94 0.00
C56 c 31.47 7.13 6.00 455.45 545.72 5.94 0.00
C57 c 19.00 7.13 7.00 279.68 348.57 5.94 0.00
C58 c 21.38 15.44 18.00 236.93 305.82 5.94 0.00
C59 c 12.47 14.25 28.00 10.68 83.14 5.94 0.00
C60 c 10.09 20.19 3.00 349.75 428.14 5.94 0.00
C61 c 7.13 14.25 13.00 195.36 327.20 5.94 0.00
C62 c 14.25 34.44 19.00 498.80 572.44 5.94 0.00
C63 c 16.03 40.97 10.00 462.58 559.97 5.94 0.00
C64 c 8.91 45.72 9.00 426.95 487.53 5.94 0.00
C65 c 36.82 45.72 20.00 67.10 127.67 5.94 0.00
C66 c 29.10 43.35 25.00 357.47 446.55 5.94 0.00
C67 c 39.79 2.97 25.00 40.97 118.17 5.94 0.00
C68 c 33.25 23.16 36.00 188.83 276.72 5.94 0.00
C69 c 21.97 27.91 6.00 277.90 351.54 5.94 0.00
C70 c 21.97 33.25 5.00 13.06 71.26 5.94 0.00
C71 c 33.85 40.38 15.00 421.60 472.68 5.94 0.00
C72 c 27.91 9.50 25.00 61.75 149.65 5.94 0.00
C73 c 26.13 10.09 9.00 521.36 570.07 5.94 0.00
C74 c 27.32 7.72 8.00 270.18 326.01 5.94 0.00
C75 c 29.10 6.53 18.00 318.87 377.08 5.94 0.00
C76 c 29.10 24.94 13.00 131.82 207.84 5.94 0.00
C77 c 31.47 25.53 14.00 51.06 133.02 5.94 0.00
C78 c 36.22 30.88 3.00 136.57 242.28 5.94 0.00
C79 c 33.85 28.50 23.00 15.43 88.48 5.94 0.00
C80 c 33.25 21.97 6.00 13.06 109.27 5.94 0.00
C81 c 32.66 32.07 26.00 16.62 81.95 5.94 0.00
C82 c 8.91 27.91 16.00 413.88 476.84 5.94 0.00
C83 c 8.31 21.97 11.00 323.62 402.02 5.94 0.00
C84 c 6.53 18.41 7.00 186.45 266.03 5.94 0.00
C85 c 9.50 13.06 41.00 327.78 441.80 5.94 0.00
C86 c 2.38 10.69 35.00 520.77 562.35 5.94 0.00
C87 c 16.63 10.69 26.00 314.72 337.29 5.94 0.00
C88 c 15.44 30.88 9.00 188.83 275.53 5.94 0.00
C89 c 15.44 20.78 15.00 327.78 415.67 5.94 0.00
C90 c 18.41 39.79 3.00 315.90 377.67 5.94 0.00
C91 c 8.91 11.28 1.00 274.93 366.39 5.94 0.00
C92 c 13.06 13.06 2.00 132.42 236.94 5.94 0.00
C93 c 10.69 14.25 22.00 335.50 381.83 5.94 0.00
C94 c 15.44 16.03 27.00 317.09 381.23 5.94 0.00
C95 c 14.85 14.25 20.00 8.90 106.30 5.94 0.00
C96 c 13.06 16.03 11.00 518.99 562.94 5.94 0.00
C97 c 14.85 12.47 12.00 336.09 377.67 5.94 0.00
C98 c 11.28 12.47 10.00 252.37 321.26 5.94 0.00
C99 c 11.88 15.44 9.00 59.97 114.61 5.94 0.00
C100 c 10.69 10.69 17.00 70.06 87.89 5.94 0.00

id name type capacity fuel battery energy cost 
1 Small|ICEV ICEV 500.00 0.19 0.00 0.00 153.00
2 Medium|ICEV ICEV 750.00 0.24 0.00 0.00 159.00
3 Large|ICEV ICEV 1000.00 0.30 0.00 0.00 169.00
4 Small|PHEV PHEV 500.00 0.22 46.97 0.71 159.00
5 Medium|PHEV PHEV 750.00 0.28 67.09 0.88 166.00
6 Large|PHEV PHEV 1000.00 0.32 87.22 0.95 178.00
7 Small|BEV BEV 500.00 0.00 134.19 0.76 159.00
8 Medium|BEV BEV 750.00 0.00 161.02 0.93 167.00
9 Large|BEV BEV 1000.00 0.00 187.86 1.00 179.00

costOf value
fossil-fuel 2.0
electricity 0.3
