stringID type x y demand readytime duedate servicetime rechargingrate 
D0 d 37.91 47.39 0.00 0.00 3212.98 0.00 0.00
S0 f 37.91 47.39 0.00 0.00 3212.98 0.00 2.17
S1 f 69.19 49.28 0.00 0.00 3212.98 0.00 2.17
S2 f 85.30 52.13 0.00 0.00 3212.98 0.00 2.17
S3 f 52.13 74.87 0.00 0.00 3212.98 0.00 2.17
S4 f 65.40 84.35 0.00 0.00 3212.98 0.00 2.17
S5 f 30.33 75.82 0.00 0.00 3212.98 0.00 2.17
S6 f 36.96 90.99 0.00 0.00 3212.98 0.00 2.17
S7 f 21.80 75.82 0.00 0.00 3212.98 0.00 2.17
S8 f 3.79 78.67 0.00 0.00 3212.98 0.00 2.17
S9 f 17.06 54.97 0.00 0.00 3212.98 0.00 2.17
S10 f 0.95 53.08 0.00 0.00 3212.98 0.00 2.17
S11 f 12.32 29.38 0.00 0.00 3212.98 0.00 2.17
S12 f -4.74 36.02 0.00 0.00 3212.98 0.00 2.17
S13 f 24.64 35.07 0.00 0.00 3212.98 0.00 2.17
S14 f 26.54 12.32 0.00 0.00 3212.98 0.00 2.17
S15 f 36.96 29.38 0.00 0.00 3212.98 0.00 2.17
S16 f 45.49 10.43 0.00 0.00 3212.98 0.00 2.17
S17 f 55.92 16.11 0.00 0.00 3212.98 0.00 2.17
S18 f 69.19 21.80 0.00 0.00 3212.98 0.00 2.17
S19 f 70.14 30.33 0.00 0.00 3212.98 0.00 2.17
S20 f 85.30 41.70 0.00 0.00 3212.98 0.00 2.17
C1 c 49.28 71.08 10.00 762.01 1258.66 85.30 0.00
C2 c 42.65 66.34 30.00 886.17 1320.26 85.30 0.00
C3 c 58.76 65.40 10.00 28.43 567.73 85.30 0.00
C4 c 56.87 62.55 10.00 24.64 589.52 85.30 0.00
C5 c 39.81 61.61 10.00 981.90 1580.90 85.30 0.00
C6 c 15.16 39.81 20.00 2252.87 2721.08 85.30 0.00
C7 c 54.97 66.34 20.00 41.70 534.55 85.30 0.00
C8 c 32.22 56.87 20.00 11.37 547.82 85.30 0.00
