stringID type x y demand readytime duedate servicetime rechargingrate 
D0 d 58.91 58.91 0.00 0.00 387.11 0.00 0.00
S0 f 58.91 58.91 0.00 0.00 387.11 0.00 0.76
S1 f 102.67 62.27 0.00 0.00 387.11 0.00 0.76
S2 f 124.55 65.64 0.00 0.00 387.11 0.00 0.76
S3 f 79.10 95.93 0.00 0.00 387.11 0.00 0.76
S4 f 95.93 109.40 0.00 0.00 387.11 0.00 0.76
S5 f 48.81 99.30 0.00 0.00 387.11 0.00 0.76
S6 f 57.22 119.50 0.00 0.00 387.11 0.00 0.76
S7 f 37.03 97.62 0.00 0.00 387.11 0.00 0.76
S8 f 11.78 102.67 0.00 0.00 387.11 0.00 0.76
S9 f 30.30 69.01 0.00 0.00 387.11 0.00 0.76
S10 f 8.42 65.64 0.00 0.00 387.11 0.00 0.76
S11 f 23.56 33.66 0.00 0.00 387.11 0.00 0.76
S12 f 0.00 43.76 0.00 0.00 387.11 0.00 0.76
S13 f 40.39 42.08 0.00 0.00 387.11 0.00 0.76
S14 f 43.76 10.10 0.00 0.00 387.11 0.00 0.76
S15 f 57.22 33.66 0.00 0.00 387.11 0.00 0.76
S16 f 69.01 8.42 0.00 0.00 387.11 0.00 0.76
S17 f 84.15 15.15 0.00 0.00 387.11 0.00 0.76
S18 f 102.67 23.56 0.00 0.00 387.11 0.00 0.76
S19 f 104.35 35.34 0.00 0.00 387.11 0.00 0.76
S20 f 124.55 50.49 0.00 0.00 387.11 0.00 0.76
C1 c 69.01 82.47 10.00 43.75 94.26 16.83 0.00
C2 c 58.91 28.61 7.00 0.00 339.98 16.83 0.00
C3 c 92.57 75.74 13.00 0.00 331.57 16.83 0.00
C4 c 92.57 33.66 19.00 163.25 213.75 16.83 0.00
C5 c 25.25 50.49 26.00 0.00 334.94 16.83 0.00
C6 c 42.08 50.49 3.00 0.00 350.08 16.83 0.00
C7 c 33.66 84.15 5.00 131.27 181.78 16.83 0.00
C8 c 16.83 72.37 9.00 45.44 95.94 16.83 0.00
C9 c 92.57 100.98 16.00 0.00 314.74 16.83 0.00
C10 c 50.49 100.98 16.00 0.00 326.52 16.83 0.00
C11 c 33.66 109.40 12.00 0.00 313.06 16.83 0.00
C12 c 84.15 58.91 19.00 281.07 331.57 16.83 0.00
C13 c 50.49 42.08 23.00 0.00 350.08 16.83 0.00
C14 c 25.25 16.83 20.00 0.00 314.74 16.83 0.00
C15 c 50.49 8.42 8.00 175.03 225.54 16.83 0.00
C16 c 16.83 33.66 19.00 102.66 153.16 16.83 0.00
C17 c 8.42 50.49 2.00 106.03 156.53 16.83 0.00
C18 c 33.66 67.32 12.00 0.00 343.35 16.83 0.00
C19 c 25.25 100.98 17.00 0.00 314.74 16.83 0.00
C20 c 75.74 109.40 9.00 53.85 104.36 16.83 0.00
C21 c 75.74 33.66 11.00 0.00 338.30 16.83 0.00
C22 c 75.74 16.83 18.00 0.00 324.84 16.83 0.00
C23 c 92.57 8.42 29.00 0.00 308.01 16.83 0.00
C24 c 109.40 58.91 3.00 0.00 319.79 16.83 0.00
C25 c 109.40 33.66 6.00 0.00 313.06 16.83 0.00
C26 c 75.74 50.49 17.00 0.00 350.08 16.83 0.00
C27 c 58.91 67.32 16.00 274.34 324.84 16.83 0.00
C28 c 69.01 62.27 16.00 0.00 358.50 16.83 0.00
C29 c 107.72 70.69 9.00 180.08 230.59 16.83 0.00
C30 c 67.32 100.98 21.00 257.50 308.01 16.83 0.00
C31 c 52.18 87.52 27.00 0.00 339.98 16.83 0.00
C32 c 58.91 116.13 23.00 0.00 313.06 16.83 0.00
C33 c 89.20 87.52 11.00 0.00 328.20 16.83 0.00
C34 c 109.40 92.57 14.00 0.00 308.01 16.83 0.00
C35 c 106.03 109.40 8.00 0.00 299.59 16.83 0.00
C36 c 3.37 100.98 5.00 164.94 215.44 16.83 0.00
C37 c 33.66 33.66 8.00 282.75 333.25 16.83 0.00
C38 c 8.42 8.42 16.00 210.38 260.88 16.83 0.00
C39 c 100.98 20.20 31.00 84.15 134.65 16.83 0.00
C40 c 67.32 42.08 9.00 40.39 90.89 16.83 0.00
C41 c 70.69 11.78 5.00 270.97 321.47 16.83 0.00
C42 c 40.39 20.20 5.00 230.58 281.08 16.83 0.00
C43 c 38.71 5.05 7.00 0.00 311.37 16.83 0.00
C44 c 18.51 23.56 18.00 264.24 314.74 16.83 0.00
C45 c 10.10 63.96 16.00 0.00 319.79 16.83 0.00
C46 c 3.37 80.79 1.00 259.19 309.69 16.83 0.00
C47 c 13.46 94.25 27.00 0.00 311.37 16.83 0.00
C48 c 21.88 87.52 36.00 0.00 323.15 16.83 0.00
C49 c 10.10 114.45 30.00 0.00 296.23 16.83 0.00
C50 c 79.10 79.10 13.00 0.00 341.67 16.83 0.00
C51 c 82.47 97.62 10.00 0.00 324.84 16.83 0.00
C52 c 45.44 72.37 9.00 169.98 220.49 16.83 0.00
C53 c 62.27 52.18 14.00 0.00 361.86 16.83 0.00
C54 c 95.93 48.81 18.00 131.27 181.78 16.83 0.00
C55 c 106.03 38.71 2.00 0.00 318.10 16.83 0.00
C56 c 89.20 20.20 6.00 80.78 131.28 16.83 0.00
C57 c 53.86 20.20 7.00 279.38 329.89 16.83 0.00
C58 c 60.59 43.76 18.00 0.00 353.45 16.83 0.00
C59 c 35.34 40.39 28.00 0.00 339.98 16.83 0.00
C60 c 28.61 57.22 3.00 0.00 338.30 16.83 0.00
C61 c 20.20 40.39 13.00 43.75 94.26 16.83 0.00
C62 c 40.39 97.62 19.00 0.00 326.52 16.83 0.00
C63 c 45.44 116.13 10.00 0.00 311.37 16.83 0.00
C64 c 25.25 129.60 9.00 195.23 245.73 16.83 0.00
C65 c 104.35 129.60 20.00 114.44 164.95 16.83 0.00
C66 c 82.47 122.86 25.00 185.13 235.63 16.83 0.00
C67 c 112.77 8.42 25.00 0.00 296.23 16.83 0.00
C68 c 94.25 65.64 36.00 79.10 129.60 16.83 0.00
C69 c 62.27 79.10 6.00 237.31 287.81 16.83 0.00
C70 c 62.27 94.25 5.00 0.00 333.25 16.83 0.00
C71 c 95.93 114.45 15.00 252.46 302.96 16.83 0.00
C72 c 79.10 26.93 25.00 169.98 220.49 16.83 0.00
C73 c 74.06 28.61 9.00 212.06 262.56 16.83 0.00
C74 c 77.42 21.88 8.00 0.00 328.20 16.83 0.00
C75 c 82.47 18.51 18.00 0.00 323.15 16.83 0.00
C76 c 82.47 70.69 13.00 291.17 341.67 16.83 0.00
C77 c 89.20 72.37 14.00 235.62 286.13 16.83 0.00
C78 c 102.67 87.52 3.00 141.37 191.87 16.83 0.00
C79 c 95.93 80.79 23.00 134.64 185.14 16.83 0.00
C80 c 94.25 62.27 6.00 0.00 333.25 16.83 0.00
C81 c 92.57 90.89 26.00 0.00 323.15 16.83 0.00
C82 c 25.25 79.10 16.00 267.60 318.10 16.83 0.00
C83 c 23.56 62.27 11.00 0.00 333.25 16.83 0.00
C84 c 18.51 52.18 7.00 144.74 195.24 16.83 0.00
C85 c 26.93 37.03 41.00 139.69 190.19 16.83 0.00
C86 c 6.73 30.30 35.00 244.04 294.54 16.83 0.00
C87 c 47.13 30.30 26.00 262.55 313.06 16.83 0.00
C88 c 43.76 87.52 9.00 262.55 313.06 16.83 0.00
C89 c 43.76 58.91 15.00 58.90 109.40 16.83 0.00
C90 c 52.18 112.77 3.00 180.08 230.59 16.83 0.00
C91 c 25.25 31.98 1.00 129.59 180.09 16.83 0.00
C92 c 37.03 37.03 2.00 191.86 242.37 16.83 0.00
C93 c 30.30 40.39 22.00 0.00 334.94 16.83 0.00
C94 c 43.76 45.44 27.00 0.00 348.40 16.83 0.00
C95 c 42.08 40.39 20.00 0.00 345.03 16.83 0.00
C96 c 37.03 45.44 11.00 30.29 80.79 16.83 0.00
C97 c 42.08 35.34 12.00 0.00 339.98 16.83 0.00
C98 c 31.98 35.34 10.00 0.00 333.25 16.83 0.00
C99 c 33.66 43.76 9.00 215.43 265.93 16.83 0.00
C100 c 30.30 30.30 17.00 0.00 328.20 16.83 0.00

id name type capacity fuel battery energy cost 
1 Small|ICEV ICEV 100.00 0.19 0.00 0.00 153.00
2 Medium|ICEV ICEV 150.00 0.24 0.00 0.00 159.00
3 Large|ICEV ICEV 200.00 0.30 0.00 0.00 169.00
4 Small|PHEV PHEV 100.00 0.22 16.57 0.71 159.00
5 Medium|PHEV PHEV 150.00 0.28 23.67 0.88 166.00
6 Large|PHEV PHEV 200.00 0.32 30.77 0.95 178.00
7 Small|BEV BEV 100.00 0.00 47.34 0.76 159.00
8 Medium|BEV BEV 150.00 0.00 56.81 0.93 167.00
9 Large|BEV BEV 200.00 0.00 66.28 1.00 179.00

costOf value
fossil-fuel 2.0
electricity 0.3
